ensembl_id	gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000121410	A1BG	57.680503700010654	0.6247802059224074	0.2856965905494348	2.186866160078659	0.028752295935633276	0.08493345629299112
ENSG00000134864	A2LD1	9.8790838554282	-0.21177230276430833	0.6955918085189369	-0.3044491038720204	0.760785762603774	0.8555582182746393
ENSG00000175899	A2M	3.3895605204780894	2.959990612113304	1.2724755303461286	2.326167019736836	0.020009642337472548	0.06432247293492598
ENSG00000166535	A2ML1	698.235137861208	-1.1582513686417721	0.6461435362877246	-1.7925604816791179	0.07304323010243761	0.16983396636866147
ENSG00000128274	A4GALT	29.788596004995334	-6.349430985310508	0.8896683050319399	-7.136851958643797	9.549259339617975e-13	2.844946006747268e-11
ENSG00000094914	AAAS	294.5704074445955	-0.5117409818126855	0.13778275983433735	-3.7141147588274146	2.039162488038175e-4	0.0013726554744991988
ENSG00000081760	AACS	868.7785387214167	0.8487370467919043	0.5339448532047602	1.5895593743394056	0.111934160566592	0.2309716009950794
ENSG00000114771	AADAC	0.17274706274503288	-4.3218432609126705	5.198043452605336	-0.8314365395977017	0.4057270643143173	0.5645257734868131
ENSG00000197953	AADACL2	0.7093911401057427	1.458476516877125	1.740640021369163	0.8378966925797258	0.40208872647856875	0.5618502002998589
ENSG00000188984	AADACL3	0.4157407347125344	1.5777616891721864	3.0211221052390083	0.5222436016194605	0.6015007315143326	0.730782078690568
ENSG00000109576	AADAT	58.578918742130604	-0.1225150888104655	0.24561613618947623	-0.4988071659752574	0.6179152387725066	0.7436327840032049
ENSG00000103591	AAGAB	429.23203918223885	-0.31345618337550957	0.24996014467847022	-1.2540246517248412	0.20983304532748565	0.35946411608484774
ENSG00000115977	AAK1	364.223671782746	0.8013743353479487	0.38026993317335217	2.1073828494945177	0.035084407020580834	0.09917633917011681
ENSG00000127837	AAMP	538.3349924326643	-0.5069926616810791	0.1017781379795224	-4.981351317147158	6.314178849788843e-7	7.617621706342427e-6
ENSG00000129673	AANAT	4.05770956682711	0.08675161083450883	1.0977824791071058	0.07902440828265839	0.9370132087685721	0.9598411333266302
ENSG00000090861	AARS	814.4797742882213	0.3473764796909633	0.14384937282239693	2.4148626641553057	0.015741143646654576	0.05313764350247978
ENSG00000124608	AARS2	361.1607690753831	0.4275901295759168	0.3630151819711273	1.177884977851768	0.2388424646619781	0.3942762248690373
ENSG00000108825	AARSD1	288.20889826817773	-0.03338169519209527	0.5330721893415161	-0.0626213407105901	0.9500680353375379	0.9681597081690012
ENSG00000157426	AASDH	163.28477458898433	0.1199169991810208	0.35584543344633957	0.3369918169797279	0.7361230687951654	0.8369759496071845
ENSG00000149313	AASDHPPT	389.17408373938287	-1.0663328438155284	0.2686830927958828	-3.9687381618225457	7.225422086283224e-5	5.523742966186337e-4
ENSG00000008311	AASS	315.6275060468576	-0.37698267128383783	0.30911963665102393	-1.2195364725710611	0.2226406414884867	0.37571158470244725
ENSG00000108270	AATF	348.4966646060088	-0.2648854925676718	0.12853890529935375	-2.0607417804810226	0.039327681394746905	0.10780952355348654
ENSG00000181409	AATK	12.38292227682175	1.8167197169421736	0.544920631909915	3.3339161899131566	8.563245569289426e-4	0.004749290614468479
ENSG00000183044	ABAT	44.82203557948408	0.8925088562447414	0.26597173953686043	3.3556529644798996	7.917785633268807e-4	0.004436432951824997
ENSG00000165029	ABCA1	782.2707179882926	1.5178395492255454	0.1318767242289696	11.509533301647775	1.181158650359812e-30	1.5275423727494203e-28
ENSG00000154263	ABCA10	19.969238838055347	1.9627224027157657	0.3690882762352749	5.317758728983931	1.0505324247846629e-7	1.4580194328047953e-6
ENSG00000144452	ABCA12	200.67019554573307	2.0063338326981013	0.2596796153686522	7.726189172953852	1.1081391540974225e-14	4.16674966951478e-13
ENSG00000179869	ABCA13	121.24674751354979	1.3228452893237896	0.6469323410417345	2.044796967784381	0.04087487883860294	0.11107530351063209
ENSG00000107331	ABCA2	264.64260063830193	-0.2895120791216419	0.2994305269414563	-0.9668756291446743	0.33360621109825267	0.4944321713294804
ENSG00000167972	ABCA3	0.41272403849059724	-4.677398803172369	3.131345714740463	-1.493734397053009	0.13524505431117584	0.26367842875126574
ENSG00000198691	ABCA4	1.5928263397228184	-6.235738897029942	2.7826565582264458	-2.2409301207492	0.025030601807794227	0.07658648706353828
ENSG00000154265	ABCA5	164.7311762570321	1.1434263342067053	0.37211671824345155	3.0727625988000797	0.0021208713858732508	0.010221737839707019
ENSG00000154262	ABCA6	6.310676489802352	0.8326069468950372	1.7540972601285667	0.47466407126934984	0.6350264305408836	0.7561230519469502
ENSG00000064687	ABCA7	195.145095166029	0.3030884990290753	0.30785724401060416	0.9845098821797917	0.3248648749606839	0.4861297581042983
ENSG00000141338	ABCA8	26.127360587405118	3.000274633614922	0.9178386228755493	3.268847658878409	0.0010798642500750265	0.005795147001895874
ENSG00000154258	ABCA9	227.88176747699757	1.2736115141800053	0.6631826202512279	1.9204536959933205	0.054800616604930345	0.13760920488428416
ENSG00000085563	ABCB1	3.513956423686233	1.7647419020920327	0.8581710990070297	2.0563986647114727	0.03974410490675165	0.10876088484313462
ENSG00000135776	ABCB10	196.58953668576103	-0.4562138253782368	0.19603435401155192	-2.3272136543544453	0.019953896649799175	0.0642219022829415
ENSG00000073734	ABCB11	1.2443837486729747	1.8746531262126191	1.4706289288894825	1.2747288519805113	0.2024052310165625	0.35087433087698083
ENSG00000005471	ABCB4	2.0680453989351366	0.9028371744182813	1.5384348803007313	0.5868543322690368	0.5573015429605493	0.6932663878072971
