gene_id,ensembl,symbol,pvalue,padj,EBV,NOKS,reg,residuals
ENSG00000000003_TSPAN6,ENSG00000000003,TSPAN6,0.1514288187465924,0.5583329942810727,0.5934813417702942,0.6965485082289407,Upregulated,0.07071568853793699
ENSG00000000419_DPM1,ENSG00000000419,DPM1,0.8290072012376267,0.9558250242820099,-0.4511586354946293,-0.6950270682121747,Downregulated,0.07046516390478375
ENSG00000000457_SCYL3,ENSG00000000457,SCYL3,0.06716331092735152,0.4285509349545191,0.7154864190891255,0.7714921084763221,Upregulated,0.13647494854992104
ENSG00000000460_C1orf112,ENSG00000000460,C1orf112,0.5912338751255555,0.8730740951904,-1.1912573280057794,-1.35793505952408,Downregulated,-0.17211537299003243
ENSG00000000938_FGR,ENSG00000000938,FGR,0.8359234998542988,1,0.4577598976612667,0.17976761927356347,Upregulated,0.32284275146195157
ENSG00000000971_CFH,ENSG00000000971,CFH,0.8814695486765234,0.9702116014239114,0.4600005047018014,0.29987749325377294,Upregulated,0.23493986384392232
ENSG00000001036_FUCA2,ENSG00000001036,FUCA2,0.20780455528199018,0.6221826514930008,0.3754208012359006,-0.15176242365703863,Mixed,0.4893198069792012
ENSG00000001084_GCLC,ENSG00000001084,GCLC,0.463079652710212,0.8176651310890981,1.7526458754226446,1.3778863745526566,Upregulated,0.7185302866821118
ENSG00000001167_NFYA,ENSG00000001167,NFYA,0.6276319699937142,0.8904284521277538,0.03807332867511057,-0.24751881581780333,Mixed,0.2238383312696735
ENSG00000001460_C1orf201,ENSG00000001460,C1orf201,6.438697186349718e-4,0.07669594895220087,-0.631152053742255,0.3733463980860275,Mixed,-0.9113517402993089
ENSG00000001461_NIPAL3,ENSG00000001461,NIPAL3,0.09109449270618837,0.46863267531702074,-0.6859771031979839,-0.4338424454085338,Downregulated,-0.3603746122088888
ENSG00000001497_LAS1L,ENSG00000001497,LAS1L,0.11933448652719623,0.5101182547265857,-1.174066644872079,-1.77759032474483,Downregulated,0.16003020023953188
ENSG00000001561_ENPP4,ENSG00000001561,ENPP4,0.6590445111716008,1,0.03784335114467245,0.0776374113942659,Upregulated,-0.020424194623270737
ENSG00000001617_SEMA3F,ENSG00000001617,SEMA3F,0.20910642092561368,0.6238621419774095,2.536461899666188,1.9732852118643012,Upregulated,1.055494356691144
ENSG00000001626_CFTR,ENSG00000001626,CFTR,0.6641534061424775,0.9042144532213723,-0.3922950375402998,0.40676039659264557,Mixed,-0.697572217696247
ENSG00000001629_ANKIB1,ENSG00000001629,ANKIB1,0.4294614113221012,0.7992911068616353,-0.03401534776839212,-0.05386209638989761,Downregulated,0.00640861936541576
ENSG00000001630_CYP51A1,ENSG00000001630,CYP51A1,0.855710059902677,0.9636408450859197,-0.1762310788357297,-0.4144554793765823,Downregulated,0.1348213272100165
ENSG00000001631_KRIT1,ENSG00000001631,KRIT1,0.8036192781643754,0.9482782551865848,0.09868030866021418,-0.17066872770188257,Mixed,0.226768658386678
ENSG00000002016_RAD52,ENSG00000002016,RAD52,0.6646868147306123,0.9042144532213723,-0.2739349215360532,-0.46486096034430635,Downregulated,0.07494723200509924
ENSG00000002330_BAD,ENSG00000002330,BAD,0.6733555236596008,0.9069780627999308,-0.31665224753225946,-0.4642694453222635,Downregulated,0.031785968891460244
ENSG00000002549_LAP3,ENSG00000002549,LAP3,0.5569671900548315,0.8564227561279606,-1.476852530759326,-1.9008944794026479,Downregulated,-0.05021485583544538
ENSG00000002586_CD99,ENSG00000002586,CD99,0.09170170074510008,0.46863267531702074,-0.35235080070431796,-0.20055433529180347,Downregulated,-0.2018330451440435
ENSG00000002587_HS3ST1,ENSG00000002587,HS3ST1,0.29590512948928593,0.7067600767156617,-0.3379997953780801,-0.27335803195585057,Downregulated,-0.13284223857681363
ENSG00000002726_ABP1,ENSG00000002726,ABP1,0.08736634589938098,1,0.39034067658109417,0.5405683813627026,Upregulated,-0.015360548332241493
ENSG00000002745_WNT16,ENSG00000002745,WNT16,0.6635275591344582,1,0.054966459217928545,0.06112665856158585,Upregulated,0.009090375620920606
ENSG00000002746_HECW1,ENSG00000002746,HECW1,0.9134717409716492,1,-0.37525759729348873,-0.32336289862659867,Downregulated,-0.13257095747628714
ENSG00000002822_MAD1L1,ENSG00000002822,MAD1L1,0.9038223489106354,0.9751418667654836,-0.6027380490384178,-0.9561330989438549,Downregulated,0.1148480747445697
ENSG00000002834_LASP1,ENSG00000002834,LASP1,0.8111610065856895,0.9502537174432375,-0.09517368291395728,-0.2568288108891497,Downregulated,0.09757855114771592
ENSG00000002919_SNX11,ENSG00000002919,SNX11,0.7933527421266812,0.945847575273666,-0.09097557452668097,-0.3882349627780554,Downregulated,0.2003981080334878
ENSG00000003056_M6PR,ENSG00000003056,M6PR,0.11035826607734298,0.49912123776906425,-0.16838956324280224,-0.7301754194336283,Downregulated,0.37961337640207055
ENSG00000003096_KLHL13,ENSG00000003096,KLHL13,4.478037916449515e-4,0.06747271781891273,-0.882905955064781,-1.608421473545145,Downregulated,0.3242282105503312
ENSG00000003137_CYP26B1,ENSG00000003137,CYP26B1,0.20419224865865457,0.618267304194989,1.0289823937256062,0.22592627501000845,Upregulated,0.8594227789353214
ENSG00000003147_ICA1,ENSG00000003147,ICA1,0.07922266765632127,0.4470511160498245,0.24677073531862245,1.2160758830460585,Upregulated,-0.66590468623608845
ENSG00000003249_DBNDD1,ENSG00000003249,DBNDD1,0.3578959532189254,0.7541766092330159,1.0344540563291262,1.6186866376811697,Upregulated,-0.18038420336086164
ENSG00000003393_ALS2,ENSG00000003393,ALS2,0.6857157510100024,0.9102209376354792,-0.07048960922275678,-0.30772328723181347,Downregulated,0.16045936757383314
ENSG00000003400_CASP10,ENSG00000003400,CASP10,0.24682644091324832,0.6636737173423323,1.1197392442740957,1.2160868514955006,Upregulated,0.20705559080363187
ENSG00000003402_CFLAR,ENSG00000003402,CFLAR,0.039607660821560024,0.3530839081216808,0.6464836771041615,1.1119257782501681,Upregulated,-0.18802619399044174
ENSG00000003436_TFPI,ENSG00000003436,TFPI,0.38967702484960043,0.7744191142704251,0.6450914743662347,0.788299422650069,Upregulated,0.05346596981600799
ENSG00000003509_C2orf56,ENSG00000003509,C2orf56,0.4959757537743346,0.832121784482495,-0.4270366954878649,-0.6678564057663058,Downregulated,0.07419528778606961
ENSG00000003756_RBM5,ENSG00000003756,RBM5,0.30395824388383846,0.7135511539390641,0.31953016835022,0.2966742791546501,Upregulated,0.09687356725581692
ENSG00000003987_MTMR7,ENSG00000003987,MTMR7,0.7752838225214019,0.9412448841615336,0.3312621835145194,0.20391442942333624,Upregulated,0.17822264837559015
ENSG00000003989_SLC7A2,ENSG00000003989,SLC7A2,0.01726355936336958,0.26427896030860365,-0.03774209399155087,-0.8514774752899116,Downregulated,0.6012990830754625
ENSG00000004059_ARF5,ENSG00000004059,ARF5,0.7464783067234128,0.9313154991144051,0.013984382863535117,-0.09838033713986467,Mixed,0.08781967301575322
ENSG00000004139_SARM1,ENSG00000004139,SARM1,0.33292746620967556,1,0.11783649029385808,0,Mixed,0.11783649029385808
ENSG00000004399_PLXND1,ENSG00000004399,PLXND1,0.7275913021744945,1,0.515084676129174,0.23234208174405285,Upregulated,0.34070994314006403
ENSG00000004455_AK2,ENSG00000004455,AK2,0.33088180259602984,0.7316718393286451,-0.8033304311370002,-1.1612485072486818,Downregulated,0.06819657277680741
ENSG00000004468_CD38,ENSG00000004468,CD38,0.7225857554718874,1,0.014020470314934629,-0.0027664342913761176,Mixed,0.016096703071693835
ENSG00000004478_FKBP4,ENSG00000004478,FKBP4,0.006068522134171266,0.17995120000962453,-0.4750641131316412,-1.298611958932951,Downregulated,0.4995553440739174
ENSG00000004487_KDM1A,ENSG00000004487,KDM1A,0.49598156063566284,0.832121784482495,-0.4155690581442227,-0.8455718590897537,Downregulated,0.21903990311277186
ENSG00000004534_RBM6,ENSG00000004534,RBM6,0.7136979967878375,0.9182555607480102,-0.2050299439731914,-0.5487076793154548,Downregulated,0.20677989413916634
ENSG00000004660_CAMKK1,ENSG00000004660,CAMKK1,0.718240755882174,1,0.39346835625893856,0.11370657368295219,Upregulated,0.3081305936107012
ENSG00000004700_RECQL,ENSG00000004700,RECQL,0.4645070604933983,0.8182530268608317,-1.4839688604226708,-1.9111586733418229,Downregulated,-0.04962781956500385
ENSG00000004766_CCDC132,ENSG00000004766,CCDC132,0.1584237403020634,0.5653131885580974,0.9257213614693078,0.9542509778941489,Upregulated,0.20954778574060343
ENSG00000004777_ARHGAP33,ENSG00000004777,ARHGAP33,0.7983542144427626,1,-0.28980131539657916,-0.10771381730025348,Downregulated,-0.20896116801570017
ENSG00000004779_NDUFAB1,ENSG00000004779,NDUFAB1,0.0921759279419888,0.46863267531702074,-0.5878734215322899,-1.1321539063069925,Downregulated,0.2618178338483675
ENSG00000004838_ZMYND10,ENSG00000004838,ZMYND10,0.6704100234144034,1,-0.24607654400731163,-0.23369629472698816,Downregulated,-0.07068546251371571
ENSG00000004846_ABCB5,ENSG00000004846,ABCB5,0.42004293972468676,1,0.028672389882663386,0.12460755722617392,Upregulated,-0.06484665478043489
ENSG00000004864_SLC25A13,ENSG00000004864,SLC25A13,0.733160415825052,0.9259430486604735,0.006410693420390918,-0.2576114425222631,Mixed,0.19975029926176313
ENSG00000004866_ST7,ENSG00000004866,ST7,0.4772809299185292,0.8223066952519474,0.0520191564783469,-0.12590889729390542,Mixed,0.14651486806779512
ENSG00000004897_CDC27,ENSG00000004897,CDC27,0.683957584253381,0.9101517790959787,-0.871142317499066,-1.0931994028790653,Downregulated,-0.05068675236866201
ENSG00000004939_SLC4A1,ENSG00000004939,SLC4A1,0.8321015591637538,1,-0.014355292977070054,-0.010147955376082965,Downregulated,-0.006739165085786048
ENSG00000004948_CALCR,ENSG00000004948,CALCR,1,1,0.070389327891398,0.11685344097263088,Upregulated,-0.017310185754639086
ENSG00000004961_HCCS,ENSG00000004961,HCCS,0.340285249548919,0.7395180377516514,-0.28727967425662215,-0.6886932190806904,Downregulated,0.2295905168304037
ENSG00000004975_DVL2,ENSG00000004975,DVL2,0.435783189271457,0.8017031430890278,0.5923952582276732,0.6007314424435475,Upregulated,0.14154113792392525
ENSG00000005001_PRSS22,ENSG00000005001,PRSS22,0.8202954093082989,0.9529643658718043,4.690544550338993,6.175973123966805,Upregulated,0.0554235410249048
ENSG00000005007_UPF1,ENSG00000005007,UPF1,0.18743560595083117,0.6017037104460823,-0.14206661149985989,-0.6485160672959095,Downregulated,0.3446502812171713
